data,produto,qtd
2024-04-01,Café Expresso,10.0
2024-04-01,Bolo de Cenoura (fatia),1.0
2024-04-01,Pão Integral (kg),1.21
2024-04-01,Pão Doce,6.0
2024-04-01,Café Expresso,30.0
2024-04-01,Torta de Morango (fatia),3.0
2024-04-01,Baguete,7.0
2024-04-01,Suco de Laranja,2.0
2024-04-01,Pão Integral (kg),2.03
2024-04-01,Baguete,4.0
2024-04-01,Café Expresso,7.0
2024-04-01,Biscoito Caseiro (kg),0.63
2024-04-01,Suco de Laranja,3.0
2024-04-01,Suco de Laranja,7.0
2024-04-01,Baguete,4.0
2024-04-01,Baguete,4.0
2024-04-01,Torta de Morango (fatia),3.0
2024-04-01,Pão Integral (kg),0.82
2024-04-01,Pão Francês,4.0
2024-04-01,Café Expresso,3.0
2024-04-01,Baguete,5.0
2024-04-01,Torta de Morango (fatia),1.0
2024-04-01,Café Expresso,4.0
2024-04-01,Pão de Queijo,24.0
2024-04-01,Pão de Queijo,9.0
2024-04-01,Pão Integral (kg),1.54
2024-04-01,Biscoito Caseiro (kg),2.48
2024-04-01,Biscoito Caseiro (kg),2.26
2024-04-01,Biscoito Caseiro (kg),2.42
2024-04-01,Suco de Laranja,1.0
2024-04-01,Pão de Queijo,17.0
2024-04-01,Pão Francês,8.0
2024-04-01,Bolo de Cenoura (fatia),3.0
2024-04-01,Torta de Morango (fatia),3.0
2024-04-01,Torta de Morango (fatia),1.0
2024-04-01,Baguete,3.0
2024-04-01,Pão de Queijo,13.0
2024-04-01,Pão Francês,22.0
2024-04-01,Café Expresso,3.0
2024-04-01,Pão Integral (kg),1.01
2024-04-01,Pão Doce,3.0
2024-04-01,Pão Doce,5.0
2024-04-01,Torta de Morango (fatia),3.0
2024-04-01,Pão Doce,3.0
2024-04-01,Suco de Laranja,5.0
2024-04-01,Pão Doce,1.0
2024-04-01,Biscoito Caseiro (kg),2.17
2024-04-01,Suco de Laranja,2.0
2024-04-02,Bolo de Cenoura (fatia),2.0
2024-04-02,Torta de Morango (fatia),1.0
2024-04-02,Baguete,2.0
2024-04-02,Baguete,2.0
2024-04-02,Pão Francês,2.0
2024-04-02,Torta de Morango (fatia),2.0
2024-04-02,Bolo de Cenoura (fatia),1.0
2024-04-02,Biscoito Caseiro (kg),0.33
2024-04-02,Bolo de Cenoura (fatia),3.0
2024-04-02,Baguete,2.0
2024-04-02,Pão Doce,7.0
2024-04-02,Bolo de Cenoura (fatia),1.0
2024-04-02,Suco de Laranja,4.0
2024-04-02,Pão Integral (kg),1.09
2024-04-02,Biscoito Caseiro (kg),2.16
2024-04-02,Bolo de Cenoura (fatia),2.0
2024-04-02,Biscoito Caseiro (kg),1.88
2024-04-02,Café Expresso,10.0
2024-04-02,Suco de Laranja,3.0
2024-04-02,Biscoito Caseiro (kg),1.53
2024-04-02,Café Expresso,30.0
2024-04-02,Pão Integral (kg),0.23
2024-04-02,Pão Integral (kg),0.73
2024-04-02,Biscoito Caseiro (kg),2.42
2024-04-02,Pão de Queijo,22.0
2024-04-02,Pão Francês,9.0
2024-04-02,Café Expresso,26.0
2024-04-02,Baguete,2.0
2024-04-02,Café Expresso,17.0
2024-04-02,Baguete,6.0
2024-04-02,Pão Doce,7.0
2024-04-02,Pão de Queijo,25.0
2024-04-02,Pão Francês,16.0
2024-04-02,Biscoito Caseiro (kg),1.08
2024-04-02,Baguete,6.0
2024-04-02,Torta de Morango (fatia),1.0
2024-04-03,Café Expresso,28.0
2024-04-03,Pão Doce,1.0
2024-04-03,Pão de Queijo,12.0
2024-04-03,Bolo de Cenoura (fatia),1.0
2024-04-03,Pão Doce,4.0
2024-04-03,Café Expresso,14.0
2024-04-03,Pão Integral (kg),1.33
2024-04-03,Pão de Queijo,24.0
2024-04-03,Pão Doce,5.0
2024-04-03,Café Expresso,8.0
2024-04-03,Pão Doce,4.0
2024-04-03,Pão Doce,7.0
2024-04-03,Biscoito Caseiro (kg),1.68
2024-04-03,Suco de Laranja,1.0
2024-04-03,Pão Doce,4.0
2024-04-03,Baguete,6.0
2024-04-03,Pão Doce,1.0
2024-04-03,Torta de Morango (fatia),2.0
2024-04-03,Pão Integral (kg),2.02
2024-04-03,Pão de Queijo,7.0
2024-04-03,Pão Integral (kg),2.26
2024-04-03,Pão Francês,8.0
2024-04-03,Baguete,7.0
2024-04-03,Baguete,6.0
2024-04-03,Pão Doce,8.0
2024-04-03,Café Expresso,15.0
2024-04-03,Pão Doce,5.0
2024-04-03,Café Expresso,7.0
2024-04-03,Suco de Laranja,8.0
2024-04-03,Café Expresso,2.0
2024-04-03,Bolo de Cenoura (fatia),3.0
2024-04-03,Pão Integral (kg),1.64
2024-04-03,Pão Doce,6.0
2024-04-03,Suco de Laranja,6.0
2024-04-03,Café Expresso,12.0
2024-04-03,Café Expresso,28.0
2024-04-03,Suco de Laranja,4.0
2024-04-03,Pão Integral (kg),2.49
2024-04-03,Torta de Morango (fatia),2.0
2024-04-03,Café Expresso,8.0
2024-04-03,Suco de Laranja,3.0
2024-04-03,Café Expresso,18.0
2024-04-03,Pão Integral (kg),2.26
2024-04-03,Baguete,2.0
2024-04-03,Pão de Queijo,27.0
2024-04-03,Baguete,6.0
2024-04-03,Bolo de Cenoura (fatia),3.0
2024-04-03,Pão Doce,7.0
2024-04-03,Baguete,4.0
2024-04-03,Bolo de Cenoura (fatia),3.0
2024-04-03,Pão Doce,4.0
2024-04-03,Café Expresso,22.0
