data,produto,categoria,quantidade_vendida,preco_unitario,estoque_atual,estoque_minimo,dia_promocao,fornecedor
2025-05-06,Pão Francês,Padaria,6,"7,25",62,25,False,Bebidas Épsilon
2025-05-06,Batata Frita,Congelados,1,"21,22",108,36,True,Produtor Beta
2025-05-06,Cerveja Pilsen,Bebidas,2,"33,73",114,32,False,Laticínios Gama
2025-05-06,Lasanha Bolonhesa,Congelados,5,"23,9",107,32,False,Limpeza Delta
2025-05-06,Torta Doce,Padaria,3,"4,32",42,12,False,Limpeza Delta
2025-05-06,Óleo de Soja,Mercearia,2,"9,37",190,44,False,Distribuidora Alfa
2025-05-06,Queijo Muçarela,Laticínios,8,"6,88",159,42,False,Produtor Beta
2025-05-06,Pão Francês,Padaria,7,"8,96",26,24,False,Distribuidora Alfa
2025-05-06,Água Sanitária,Limpeza,6,"13,74",127,37,False,Distribuidora Alfa
2025-05-06,Lasanha Bolonhesa,Congelados,8,"28,0",177,45,False,Laticínios Gama
2025-05-06,Pizza Calabresa,Congelados,6,"17,27",91,39,False,Limpeza Delta
2025-05-06,Leite Integral,Laticínios,4,"29,46",101,40,False,Laticínios Gama
2025-05-06,Detergente,Limpeza,10,"28,09",178,37,False,Limpeza Delta
2025-05-06,Picanha,Carnes,3,"21,29",58,27,True,Produtor Beta
2025-05-06,Tomate,Hortifruti,5,"9,39",84,13,False,Distribuidora Alfa
2025-05-06,Água Sanitária,Limpeza,4,"9,52",125,45,True,Produtor Beta
2025-05-06,Suco de Laranja,Bebidas,4,"40,13",89,21,False,Bebidas Épsilon
2025-05-06,Água Mineral,Bebidas,3,"26,17",82,21,True,Distribuidora Alfa
2025-05-06,Alface,Hortifruti,12,"2,96",72,25,False,Limpeza Delta
2025-05-06,Torta Doce,Padaria,2,"5,95",77,23,False,Laticínios Gama
2025-05-07,Batata Frita,Congelados,6,"17,24",168,38,False,Distribuidora Alfa
2025-05-07,Cenoura,Hortifruti,13,"11,13",66,18,False,Laticínios Gama
2025-05-07,Desinfetante,Limpeza,2,"8,41",189,41,False,Bebidas Épsilon
2025-05-07,Manteiga,Laticínios,6,"18,83",145,44,True,Bebidas Épsilon
2025-05-07,Leite Integral,Laticínios,5,"29,11",106,44,False,Bebidas Épsilon
2025-05-07,Desinfetante,Limpeza,7,"27,14",149,33,False,Limpeza Delta
2025-05-07,Arroz 5kg,Mercearia,8,"24,94",158,32,False,Laticínios Gama
2025-05-07,Feijão Carioca,Mercearia,9,"16,65",102,36,False,Bebidas Épsilon
2025-05-07,Tomate,Hortifruti,5,"10,25",73,12,True,Limpeza Delta
2025-05-07,Picanha,Carnes,2,"10,91",52,20,True,Laticínios Gama
2025-05-07,Água Sanitária,Limpeza,8,"26,93",161,30,False,Limpeza Delta
2025-05-07,Água Sanitária,Limpeza,4,"13,53",142,35,False,Produtor Beta
2025-05-07,Água Mineral,Bebidas,3,"17,88",132,31,False,Distribuidora Alfa
2025-05-07,Pão Francês,Padaria,8,"5,28",56,24,True,Produtor Beta
2025-05-07,Feijão Carioca,Mercearia,7,"26,76",115,38,False,Limpeza Delta
2025-05-07,Cenoura,Hortifruti,8,"11,73",67,25,False,Bebidas Épsilon
2025-05-07,Frango Filet,Carnes,4,"13,04",101,22,False,Distribuidora Alfa
2025-05-07,Sabão em Pó,Limpeza,7,"12,19",91,33,True,Limpeza Delta
2025-05-07,Torta Doce,Padaria,15,"8,43",79,21,False,Bebidas Épsilon
2025-05-07,Manteiga,Laticínios,3,"5,71",88,30,False,Limpeza Delta
2025-05-07,Açúcar Refinado,Mercearia,4,"6,73",76,38,True,Laticínios Gama
2025-05-07,Sabão em Pó,Limpeza,1,"14,18",108,44,True,Distribuidora Alfa
2025-05-07,Tomate,Hortifruti,14,"6,13",53,24,False,Laticínios Gama
2025-05-07,Frango Filet,Carnes,1,"26,67",124,29,False,Distribuidora Alfa
2025-05-07,Tomate,Hortifruti,10,"8,79",89,10,False,Limpeza Delta
2025-05-07,Picanha,Carnes,4,"23,76",67,31,False,Produtor Beta
2025-05-07,Óleo de Soja,Mercearia,7,"16,42",164,33,False,Distribuidora Alfa
2025-05-07,Pão Francês,Padaria,15,"10,21",37,21,True,Bebidas Épsilon
2025-05-07,Tomate,Hortifruti,7,"6,02",55,14,False,Produtor Beta
2025-05-07,Banana,Hortifruti,7,"7,23",90,12,False,Limpeza Delta
2025-05-07,Lasanha Bolonhesa,Congelados,2,"23,97",119,41,True,Laticínios Gama
2025-05-07,Torta Doce,Padaria,10,"9,71",40,24,False,Produtor Beta
2025-05-07,Água Sanitária,Limpeza,3,"23,14",109,38,True,Laticínios Gama
2025-05-07,Cenoura,Hortifruti,14,"11,4",66,13,True,Laticínios Gama
2025-05-07,Picanha,Carnes,3,"18,02",60,29,False,Bebidas Épsilon
2025-05-07,Pizza Calabresa,Congelados,5,"26,5",180,37,False,Distribuidora Alfa
2025-05-07,Pão Francês,Padaria,6,"9,34",88,25,False,Produtor Beta
2025-05-07,Açúcar Refinado,Mercearia,10,"14,09",171,30,True,Produtor Beta
2025-05-07,Lasanha Bolonhesa,Congelados,2,"6,38",142,32,True,Limpeza Delta
2025-05-07,Picanha,Carnes,1,"17,91",123,20,False,Distribuidora Alfa
2025-05-07,Leite Integral,Laticínios,1,"12,88",147,43,True,Distribuidora Alfa
2025-05-07,Lasanha Bolonhesa,Congelados,6,"5,11",144,38,False,Laticínios Gama
2025-05-07,Picanha,Carnes,1,"13,48",145,31,True,Limpeza Delta
2025-05-08,Açúcar Refinado,Mercearia,8,"11,37",112,43,False,Bebidas Épsilon
2025-05-08,Lasanha Bolonhesa,Congelados,5,"8,96",182,37,False,Produtor Beta
2025-05-08,Detergente,Limpeza,8,"7,45",109,35,False,Laticínios Gama
2025-05-08,Picanha,Carnes,5,"46,47",60,30,False,Laticínios Gama
2025-05-08,Refrigerante Cola,Bebidas,2,"45,13",63,21,False,Produtor Beta
2025-05-08,Água Mineral,Bebidas,1,"27,07",125,20,True,Laticínios Gama
2025-05-08,Cerveja Pilsen,Bebidas,5,"47,71",54,27,False,Bebidas Épsilon
2025-05-08,Alface,Hortifruti,12,"11,16",64,14,True,Distribuidora Alfa
2025-05-08,Leite Integral,Laticínios,4,"8,46",188,37,False,Bebidas Épsilon
2025-05-08,Iogurte Natural,Laticínios,10,"22,12",140,39,False,Limpeza Delta
2025-05-08,Sabão em Pó,Limpeza,3,"21,79",84,30,False,Bebidas Épsilon
2025-05-08,Cenoura,Hortifruti,4,"9,26",84,21,False,Produtor Beta
2025-05-08,Lasanha Bolonhesa,Congelados,6,"11,59",75,37,True,Laticínios Gama
2025-05-08,Pão Francês,Padaria,6,"4,55",53,14,False,Laticínios Gama
2025-05-08,Água Sanitária,Limpeza,8,"8,41",173,31,False,Laticínios Gama
2025-05-08,Pizza Calabresa,Congelados,9,"12,64",164,44,False,Produtor Beta
2025-05-08,Refrigerante Cola,Bebidas,4,"10,75",81,34,False,Distribuidora Alfa
2025-05-08,Manteiga,Laticínios,1,"22,28",166,32,False,Laticínios Gama
2025-05-08,Batata Frita,Congelados,3,"19,12",171,42,True,Produtor Beta
2025-05-08,Desinfetante,Limpeza,4,"23,61",102,45,False,Bebidas Épsilon
2025-05-08,Sabão em Pó,Limpeza,3,"25,05",186,35,False,Produtor Beta
2025-05-08,Leite Integral,Laticínios,6,"28,41",155,45,False,Distribuidora Alfa
2025-05-08,Água Mineral,Bebidas,3,"11,45",96,27,False,Distribuidora Alfa
2025-05-08,Bolo de Fubá,Padaria,7,"10,3",50,20,True,Produtor Beta
2025-05-08,Desinfetante,Limpeza,2,"17,79",88,37,False,Produtor Beta
2025-05-08,Queijo Muçarela,Laticínios,9,"27,26",136,41,False,Laticínios Gama
2025-05-08,Cenoura,Hortifruti,8,"7,99",72,16,False,Distribuidora Alfa
2025-05-08,Pizza Calabresa,Congelados,8,"11,71",188,39,True,Bebidas Épsilon
2025-05-08,Leite Integral,Laticínios,3,"25,33",117,43,False,Distribuidora Alfa
2025-05-08,Refrigerante Cola,Bebidas,1,"39,4",55,33,False,Produtor Beta
2025-05-08,Banana,Hortifruti,3,"7,12",54,11,False,Bebidas Épsilon
2025-05-08,Banana,Hortifruti,7,"5,24",58,22,False,Distribuidora Alfa
2025-05-09,Pão Francês,Padaria,15,"4,64",17,20,False,Limpeza Delta
2025-05-09,Torta Doce,Padaria,11,"6,45",40,20,False,Limpeza Delta
2025-05-09,Frango Filet,Carnes,4,"33,89",70,33,True,Produtor Beta
2025-05-09,Desinfetante,Limpeza,7,"14,9",101,40,False,Limpeza Delta
2025-05-09,Açúcar Refinado,Mercearia,7,"28,25",189,31,True,Laticínios Gama
2025-05-09,Desinfetante,Limpeza,3,"23,02",88,40,False,Produtor Beta
2025-05-09,Frango Filet,Carnes,4,"23,47",46,22,False,Distribuidora Alfa
2025-05-09,Torta Doce,Padaria,7,"9,56",48,18,True,Bebidas Épsilon
2025-05-09,Cenoura,Hortifruti,4,"5,63",57,20,False,Limpeza Delta
2025-05-09,Pão de Queijo,Padaria,1,"3,14",59,21,False,Produtor Beta
2025-05-09,Óleo de Soja,Mercearia,4,"10,45",124,33,True,Laticínios Gama
2025-05-09,Alface,Hortifruti,3,"6,58",86,10,False,Distribuidora Alfa
2025-05-09,Feijão Carioca,Mercearia,6,"20,41",174,33,False,Produtor Beta
2025-05-09,Bolo de Fubá,Padaria,5,"9,16",42,17,False,Limpeza Delta
2025-05-09,Água Sanitária,Limpeza,9,"25,46",118,42,False,Produtor Beta
2025-05-09,Bolo de Fubá,Padaria,14,"4,9",24,20,False,Produtor Beta
2025-05-09,Café em Pó,Mercearia,8,"17,65",78,38,False,Laticínios Gama
2025-05-09,Linguiça Suína,Carnes,1,"37,27",137,20,False,Laticínios Gama
2025-05-09,Refrigerante Cola,Bebidas,1,"21,12",134,30,False,Limpeza Delta
2025-05-09,Pizza Calabresa,Congelados,7,"22,65",149,32,True,Limpeza Delta
2025-05-09,Cenoura,Hortifruti,11,"6,08",84,12,False,Limpeza Delta
2025-05-09,Bolo de Fubá,Padaria,8,"3,59",80,18,False,Distribuidora Alfa
2025-05-09,Manteiga,Laticínios,3,"13,3",181,38,False,Bebidas Épsilon
2025-05-09,Detergente,Limpeza,6,"28,77",101,35,False,Laticínios Gama
2025-05-09,Maçã,Hortifruti,11,"7,36",47,14,False,Bebidas Épsilon
2025-05-09,Cerveja Pilsen,Bebidas,4,"15,19",79,20,False,Limpeza Delta
2025-05-09,Queijo Muçarela,Laticínios,1,"11,55",93,39,False,Produtor Beta
2025-05-09,Água Mineral,Bebidas,4,"18,08",69,31,False,Produtor Beta
2025-05-09,Batata Frita,Congelados,1,"28,74",113,40,False,Distribuidora Alfa
2025-05-09,Água Sanitária,Limpeza,4,"27,55",192,34,False,Bebidas Épsilon
2025-05-09,Manteiga,Laticínios,1,"11,25",167,41,False,Limpeza Delta
2025-05-09,Água Sanitária,Limpeza,3,"23,17",135,42,False,Laticínios Gama
2025-05-09,Suco de Laranja,Bebidas,5,"36,92",80,25,False,Bebidas Épsilon
2025-05-09,Cenoura,Hortifruti,10,"3,49",42,22,False,Laticínios Gama
2025-05-09,Açúcar Refinado,Mercearia,8,"24,43",99,37,False,Laticínios Gama
2025-05-09,Sabão em Pó,Limpeza,10,"18,53",178,35,False,Distribuidora Alfa
2025-05-10,Cenoura,Hortifruti,11,"9,83",26,15,False,Laticínios Gama
2025-05-10,Refrigerante Cola,Bebidas,3,"28,91",91,21,True,Distribuidora Alfa
2025-05-10,Lasanha Bolonhesa,Congelados,7,"10,36",193,35,False,Limpeza Delta
2025-05-10,Arroz 5kg,Mercearia,2,"21,6",118,44,False,Limpeza Delta
2025-05-10,Açúcar Refinado,Mercearia,6,"8,94",185,30,False,Produtor Beta
2025-05-10,Frango Filet,Carnes,5,"18,26",89,24,False,Distribuidora Alfa
2025-05-10,Cerveja Pilsen,Bebidas,4,"48,59",51,27,False,Laticínios Gama
2025-05-10,Torta Doce,Padaria,5,"7,53",94,23,False,Distribuidora Alfa
2025-05-10,Alface,Hortifruti,1,"3,86",48,16,False,Laticínios Gama
2025-05-10,Iogurte Natural,Laticínios,8,"12,01",161,36,False,Laticínios Gama
2025-05-10,Torta Doce,Padaria,9,"9,46",60,10,True,Distribuidora Alfa
2025-05-10,Linguiça Suína,Carnes,2,"34,23",103,21,False,Distribuidora Alfa
2025-05-10,Refrigerante Cola,Bebidas,4,"40,66",92,20,False,Produtor Beta
2025-05-10,Frango Filet,Carnes,1,"30,97",139,34,False,Produtor Beta
2025-05-10,Banana,Hortifruti,10,"11,21",31,24,False,Bebidas Épsilon
2025-05-10,Batata Frita,Congelados,3,"8,05",99,30,False,Limpeza Delta
2025-05-10,Café em Pó,Mercearia,2,"17,17",98,36,False,Produtor Beta
